title,authors,language_code
Talking Philosophy: Dialogues with Fifteen Leading Philosophers,Bryan Magee/Isaiah Berlin/Charles Taylor/Herbert Marcuse/William Barrett/Anthony Quinton/A.J. Ayer/Bernard Williams/R. M. Hare/Willard Van Orman Quine/John Rogers Searle/Noam Chomsky/Hilary Putnam/Ronald Dworkin/Iris Murdoch/Ernest Gellner,eng
The Story of Philosophy: A Concise Introduction to the World's Greatest Thinkers and Their Ideas,Bryan Magee,eng
Feminist Measures: Soundings in Poetry and Theory,Lynn Keller/Lynn Keller,en-US
Taxation of Mineral Rents,Ross Garnaut,eng
Dubliners,James Joyce/Margot Norris/Hans Walter Gabler/Walter Hettche,eng
Dubliners: Text  Criticism  and Notes,James Joyce/Robert Scholes/A. Walton Litz,eng
Dubliners,James Joyce/Frank McCourt/Donal Donnelly/Ciaran Hinds/Colm Meaney/Malachy McCourt,eng
CliffsNotes on Joyce's Dubliners (Cliffs Notes),Adam  Sexton/G. Tubach,eng
The Door to Time (Ulysses Moore  #1),Pierdomenico Baccalario/Iacopo Bruno/Laura Zuccotti/Leah D. Janeczko/Beth Dunfey,eng
Ulysses S. Grant: The Unlikely Hero,Michael Korda,eng
Ulysses S. Grant,Josiah Bunting/Arthur M. Schlesinger Jr.,eng
Allusions in Ulysses: An Annotated List,Weldon Thornton,eng
Ulysses Found,Ernle Bradford,eng
The Scandal of Ulysses: The Life And Afterlife of a Twentieth Century Masterpiece,Bruce Arnold,eng
Round Ireland with a Fridge,Tony Hawks,en-US
Discovery of the Presence of God: Devotional Nonduality,David R. Hawkins,en-US
Transcending the Levels of Consciousness: The Stairway to Enlightenment,David R. Hawkins,eng
The Eye of the I: From Which Nothing is Hidden,David R. Hawkins,eng
Letters to J. D. Salinger,Chris Kubica/Chris Kubica,eng
J.D. Salinger's Catcher in the Rye (Modern Critical Interpretations),Harold Bloom,eng
Lord of the Flies,William Golding,en-US
Where Is Baby's Mommy? (A Lift-the-Flap Book),Karen Katz,eng
Counting Christmas,Karen Katz,eng
Running from the Deity (Pip & Flinx #11),Alan Dean Foster,eng
Lost and Found,Alan Dean Foster,eng
Reunion (Pip & Flinx #8),Alan Dean Foster,eng
The Dig,Alan Dean Foster,eng
Regarding the Fountain: A Tale  in Letters  of Liars and Leaks,Kate Klise/M. Sarah Klise,eng
Pimsleur German Level 1 CD: [Lessons 1-30],Pimsleur Language Programs,eng
The Architecture of Happiness,Alain de Botton,eng
The Consolations of Philosophy,Alain de Botton,en-US
How Proust Can Change Your Life,Alain de Botton,eng
Kiss & Tell,Alain de Botton,eng
The Consolations of Philosophy,Alain de Botton,eng
Status Anxiety,Alain de Botton,eng
On Love,Alain de Botton,eng
Miracle at St. Anna,James   McBride,en-US
Die Farbe von Wasser,James   McBride,ger
Dragons of Winter Night (Dragonlance: Chronicles #2),Margaret Weis/Tracy Hickman,en-US
Dragons of Winter Night (Dragonlance: Chronicles  #2),Margaret Weis/Tracy Hickman,eng
Dragon's Treasure,Elizabeth A. Lynn,eng
Watchtower (Chronicles of Tornor  #1),Elizabeth A. Lynn,eng
Letters to a Young Artist,Anna Deavere Smith,eng
The Hip Chick's Guide to Macrobiotics: A Philosophy for Achieving a Radiant Mind and a Fabulous Body,Jessica Porter/Michio Kushi,eng
La casa en Mango Street,Sandra Cisneros/Elena Poniatowska,spa
Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),Harold Bloom/Terry Southern/David H. Goldsmith/James Lundquist/Lawrence R. Broer/Peter J. Reed/Loree Rackstraw/William S. Doxey/Jerome Klinkowitz/Richard Giannone/John L. Simons/Leonard Mustazza/Zoltan Ab di-Nagy/Peter Freese/Wendy B. Faris,eng
The Dharma Bums,Jack Kerouac/Ann  Douglas,eng
The Alchemist's Daughter,Katharine McMahon,eng
The Art of Fullmetal Alchemist: The Anime,Hiromu Arakawa/Akira Watanabe/Eric Searleman,eng
Fullmetal Alchemist  Vol. 11 (Fullmetal Alchemist  #11),Hiromu Arakawa/Akira Watanabe,eng
Astronomy Today,Eric Chaisson/Steve McMillan,eng
Astronomy For Dummies,Stephen P. Maran,eng
Astronomy: A Self-Teaching Guide,Dinah L. Moché,eng
Astronomy: A Beginner's Guide to the Universe,Eric Chaisson/Steve McMillan,eng
Bad Astronomy,Philip Plait,eng
The Complete World of Greek Mythology,Richard Buxton,eng
Mythology: Timeless Tales of Gods and Heroes,Edith Hamilton,eng
Mythology,Edith Hamilton/Steele Savage,eng
Mythology: The DC Comics Art of Alex Ross,Alex Ross/Geoff Spear/Chip Kidd,eng
Norse Mythology: A Guide to the Gods  Heroes  Rituals  and Beliefs,John Lindow,eng
Classic Myths to Read Aloud: The Great Stories of Greek and Roman Mythology  Specially Arranged for Children Five and Up by an Educational Expert,William F. Russell,eng
Snapshots From Hell: The Making Of An MBA,Peter M. Robinson,en-US
Watchmen on the Walls,Hannah Hurnard,eng
America (The Book): A Citizen's Guide to Democracy Inaction  (Teacher's Edition),Jon   Stewart/Scott C. Jacobson,en-GB
The Children's Book of America,William J. Bennett/Michael Hague,en-US
The Journal of Scott Pendleton Collins: A World War 2 Soldier,Walter Dean Myers,eng
The New Big Book of America,Todd Davis/Marc Frey,eng
Awake in the Dark: The Best of Roger Ebert,Roger Ebert/David Bordwell,eng
"Ebert's ""Bigger"" Little Movie Glossary",Roger Ebert/Ray Ebert,en-US
The Perfect London Walk,Roger Ebert/Daniel Curley/Jack Lane,eng
The Truth with Jokes,Al Franken,eng
Lies & the Lying Liars Who Tell Them: A Fair & Balanced Look at the Right,Al Franken,en-US
"Still More George W. Bushisms: ""Neither in French nor in English nor in Mexican""",Jacob Weisberg/Al Franken,eng
You're Good Enough  You're Smart Enough  & Doggone It  People Like You!,Al Franken,en-US
I'm Good Enough  I'm Smart Enough  & Doggone It  People Like Me!,Al Franken/Melody Beattie/Stuart Smalley,en-US
J.R.R. Tolkien: Artist and Illustrator,Wayne G. Hammond/Christina Scull/J.R.R. Tolkien,en-US
The J.R.R. Tolkien Companion and Guide,Christina Scull/Wayne G. Hammond,eng
The Children of Húrin,J.R.R. Tolkien/Christopher Tolkien/Alan  Lee,eng
Tales Before Tolkien: The Roots of Modern Fantasy,Douglas A. Anderson/Frank R. Stockton/Ludwig Tieck/Richard Garnett/H. Rider Haggard/Andrew Lang/William Hope Hodgson/E.A. Wyke-Smith/David  Lindsay/Clemence Housman/George MacDonald/Arthur Machen/A. Merritt/L. Frank Baum/Kenneth Morris/William Morris/James Branch Cabell/Lord Dunsany/Francis Stevens/E.H. Knatchbull-Hugessen/E. Nesbit,eng
The J.R.R. Tolkien Companion and Guide  Volume 1: Chronology,Christina Scull/Wayne G. Hammond,eng
Sauron Defeated: The History of The Lord of the Rings  Part Four (The History of Middle-Earth  #9),J.R.R. Tolkien/Christopher Tolkien,eng
The J.R.R. Tolkien Companion and Guide  Volume 2: Reader's Guide,Wayne G. Hammond/Wayne G. Hammond,eng
Tales from the Perilous Realm,J.R.R. Tolkien,eng
Tolkien: Man and Myth: A Literary Life,Joseph Pearce,eng
Roverandom,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,eng
The History of Middle-Earth Index (The History of Middle-Earth  #13),J.R.R. Tolkien/Christopher Tolkien,eng
The Lost Road and Other Writings (The History of Middle-earth  #5),J.R.R. Tolkien/Christopher Tolkien,eng
Tolkien's Modern Middle Ages,Jane Chance/Alfred Siewers,eng
Understanding The Lord of the Rings: The Best of Tolkien Criticism,Rose A. Zimbardo/Neil D. Isaacs,eng
Faërie,J.R.R. Tolkien/Francis Ledoux,fre
The Hobbit  or  There and Back Again,J.R.R. Tolkien/Alan  Lee,eng
Ranma 1/2  Vol. 36 (Ranma ½ (US 2nd)  #36),Rumiko Takahashi,eng
Ranma ½  Vol. 1 (Ranma ½ (US 2nd)  #1),Rumiko Takahashi,eng
Ranma 1/2  Vol. 35 (Ranma ½ (US 2nd)  #35),Rumiko Takahashi,eng
Ranma 1/2  Vol. 34 (Ranma ½ (US 2nd)  #34),Rumiko Takahashi,eng
Ranma 1/2  Vol. 7 (Ranma ½ (US 2nd)  #7),Rumiko Takahashi,eng
Mermaid Saga  Vol. 2,Rumiko Takahashi,eng
The Mermaids Singing,Lisa Carey,en-US
Maison Ikkoku  Volume 15 (Maison Ikkoku  #15),Rumiko Takahashi,en-US
Maison Ikkoku  Volume 14 (Maison Ikkoku  #14),Rumiko Takahashi,eng
Maison Ikkoku  Volume 12 (Maison Ikkoku  #12),Rumiko Takahashi,eng
Maison Ikkoku  Volume 5 (Maison Ikkoku  #5),Rumiko Takahashi,en-US
Maison Ikkoku  Volume 6 (Maison Ikkoku  #6),Rumiko Takahashi,en-US
Maison Ikkoku  Volume 11 (Maison Ikkoku  #11),Rumiko Takahashi,eng
Maison Ikkoku  Volume 9 (Maison Ikkoku  #9),Rumiko Takahashi,en-US
Rumic World Trilogy  Volume 3 (Rumic World Trilogy  #3),Rumiko Takahashi,eng
Nausicaä of the Valley of the Wind  Vol. 4 (Nausicaä of the Valley of the Wind  #4),Hayao Miyazaki/David Lewis/Toren Smith/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,eng
Nausicaä of the Valley of the Wind  Vol. 6 (Nausicaä of the Valley of the Wind  #6),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,eng
Nausicaä of the Valley of the Wind  Vol. 5 (Nausicaä of the Valley of the Wind  #5),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,eng
Nausicaä of the Valley of the Wind  Vol. 7 (Nausicaä of the Valley of the Wind  #7),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,eng
Nausicaä De La Vallée Du Vent  Tome 4,Hayao Miyazaki,fre
Nausicaä de la vallée du vent  tome 3,Hayao Miyazaki,fre
Homer's Daughter,Robert Graves,en-US
The Absolute Sandman  Volume One,Neil Gaiman/Mike Dringenberg/Chris Bachalo/Michael Zulli/Kelly Jones/Charles Vess/Colleen Doran/Malcolm Jones III/Steve Parkhouse/Daniel Vozzo/Lee Loughridge/Steve Oliff/Todd Klein/Dave McKean/Sam Kieth,eng
Preludes & Nocturnes (The Sandman  #1),Neil Gaiman/Sam Kieth/Mike Dringenberg/Malcolm Jones III/Todd Klein/Karen  Berger,eng
Berlin Diary: The Journal of a Foreign Correspondent 1934-1941,William L. Shirer/Gordon A. Craig,eng
This Is Berlin: Reporting from Nazi Germany 1938-40,William L. Shirer/John Keegan/Inga Shirer Dean,en-US
The Nightmare Years: 1930-40 (20th Century Journey  #2),William L. Shirer,eng
The Collapse of the Third Republic,William L. Shirer,eng
Something Borrowed (Darcy & Rachel  #1),Emily Giffin,en-US
Something Borrowed  Something Blue,Elaine Barbieri/Constance O'Banyon/Evelyn Rogers/Bobbi Smith,eng
The Major Plays,Anton Chekhov/Ann Dunnigan/Rosamund Bartlett/Robert Brustein,eng
The Complete Plays,Anton Chekhov/Laurence Senelick,eng
Anton Chekhov's Selected Plays,Anton Chekhov/Laurence Senelick,eng
Short Stories,Anton Chekhov/Ralph E. Matlaw,eng
Ward No. 6 and Other Stories,Anton Chekhov/David Plante/Constance Garnett,en-US
The Dark Descent,David G. Hartwell/Clive Barker/Ray Bradbury/John Collier/Shirley Jackson/Stephen King/Joyce Carol Oates,eng
The Medusa in the Shield,David G. Hartwell/Robert Aickman/Charlotte Perkins Gilman/William Faulkner/Robert Smythe Hichens/Richard Matheson/Joanna Russ/Dennis Etchison/D.H. Lawrence/Tanith Lee/Flannery O'Connor/Ramsey Campbell/Thomas M. Disch/Henry James/Theodore Sturgeon/Clive Barker/Edgar Allan Poe/Stephen King/Michael  Bishop/H.P. Lovecraft/J. Sheridan Le Fanu,eng
A Fabulous  Formless Darkness,David G. Hartwell/Fritz Leiber/Fitz-James O'Brien/Shirley Jackson/Ambrose Bierce/Edith Wharton/Algernon Blackwood/Thomas M. Disch/Robert Aickman/Philip K. Dick/Gene Wolfe/Charles Dickens/Stephen King/Joyce Carol Oates/Walter de la Mare/Ivan Turgenev/Robert W. Chambers/Oliver Onions,eng
The Dark Descent  Vol 1: The Color of Evil,David G. Hartwell,eng
Bargaining for Advantage: Negotiation Strategies for Reasonable People,G. Richard Shell,en-US
Bargaining for Advantage: Negotiation Strategies for Reasonable People,G. Richard Shell,eng
The Silence of the Lambs and Red Dragon,Thomas  Harris,eng
The Silence of the Lambs,Yvonne Tasker,eng
King Solomon's Mines (Allan Quatermain  #1),H. Rider Haggard,eng
Mine  All Mine!: A Book About Pronouns,Ruth Heller,en-US
A Faith Like Mine,Laura Buller/D.K. Publishing,eng
Speaks the Nightbird (Matthew Corbett  #1),Robert R. McCammon,en-US
The Bishop's Boys: A Life of Wilbur and Orville Wright,Tom D. Crouch,eng
The Insomnia Answer: A Personalized Program for Identifying and Overcoming the Three Types of Insomnia,Paul Glovinsky/Art Spielman,en-US
Cognitive Behavioral Treatment of Insomnia: A Session-By-Session Guide,Michael L. Perlis/Carla Jungquist/Michael T. Smith,eng
Healing Therapies for Overcoming Insomnia,Peter  Van Houten/Rich McCord,eng
The Attraction,Douglas Clegg,eng
Nightmare House (Harrow House  #1),Douglas Clegg,en-GB
The Abandoned (Harrow House  #4),Douglas Clegg,eng
The Nightmare Chronicles,Douglas Clegg,en-US
Mischief (Harrow House  #2),Douglas Clegg,eng
Purity (Dark Coming of Age  #1),Douglas Clegg,eng
The Hour Before Dark,Douglas Clegg,eng
The Halloween Man,Douglas Clegg,eng
The Sisters: The Saga of the Mitford Family,Mary S. Lovell,eng
Soldiers of Salamis,Javier Cercas/Anne McLean,eng
Spandau: The Secret Diaries,Albert Speer,eng
El coronel no tiene quien le escriba,Gabriel García Márquez,spa
Of Love and Other Demons,Gabriel García Márquez,eng
Noticia de un secuestro,Gabriel García Márquez,spa
Chronicle of a Death Foretold,Gabriel García Márquez/Gregory Rabassa,eng
Ojos de perro azul,Gabriel García Márquez,spa
The General in His Labyrinth,Gabriel García Márquez/Edith Grossman,eng
La increíble y triste historia de la cándida Eréndira y de su abuela desalmada,Gabriel García Márquez,spa
The Autumn of the Patriarch,Gabriel García Márquez/Gregory Rabassa,eng
Cien años de soledad,Gabriel García Márquez,spa
El amor en los tiempos del cólera,Gabriel García Márquez,spa
Relato de un náufrago,Gabriel García Márquez,spa
Relato de Um Náufrago,Gabriel García Márquez/Remy Gorga Filho,por
The Complete Poems,William Blake/Alicia Suskin Ostriker,eng
The Marriage of Heaven and Hell,William Blake,eng
The Stranger from Paradise: A Biography of William Blake,G.E. Bentley Jr.,eng
The Complete Stories and Poems,Edgar Allan Poe,eng
Complete Tales and Poems,Edgar Allan Poe,eng
The Edgar Allan Poe Audio Collection,Edgar Allan Poe,eng
18 Best Stories by Edgar Allan Poe,Edgar Allan Poe/Vincent  Price/Chandler Brossard,eng
Complete Poems (Library of Classic Poets),Edgar Allan Poe,en-US
Edgar Allan Poe A to Z,Dawn B. Sova,eng
Selected Letters  1940-1956,Jack Kerouac/Ann Charters,eng
The Wild Boys,William S. Burroughs,eng
Nova Express (The Nova Trilogy  #3),William S. Burroughs,eng
Last Words: The Final Journals,William S. Burroughs/James Grauerholz,eng
The Soft Machine (The Nova Trilogy #1),William S. Burroughs,eng
Junky,William S. Burroughs/Oliver  Harris/Allen Ginsberg,eng
Queer,William S. Burroughs,eng
Cities of the Red Night,William S. Burroughs,en-GB
William S. Burroughs  Throbbing Gristle  Brion Gysin,V. Vale/Andrea Juno/William S. Burroughs/Throbbing Gristle/Brion Gysin,eng
Burroughs Live: The Collected Interviews  1960-1997,William S. Burroughs/Sylvère Lotringer,eng
My Education: A Book of Dreams,William S. Burroughs,eng
Trainspotting (Mark Renton  #2),Irvine Welsh,en-US
Trainspotting,Murray Smith,eng
Trainspotting,Irvine Welsh/Eric Lindor Fall,fre
Marabou Stork Nightmares,Irvine Welsh,eng
You'll Have Had Your Hole,Irvine Welsh,eng
Ecstasy,Irvine Welsh/Alain Defossé,fre
Filth,Irvine Welsh,eng
The Female Brain,Louann Brizendine,eng
Imaginary Friends,Nora Ephron,eng
Scribble  Scribble: Notes on the Media,Nora Ephron,eng
Life Amongst the Modocs,Joaquin Miller/Alan Rosenus/Malcolm Margolin,eng
Devil's Backbone,Terry C. Johnston,eng
Soldados de Salamina,Javier Cercas,spa
Rule #1: The Simple Strategy for Successful Investing in Only 15 Minutes a Week!,Phil Town,eng
"Laguna  I Love You: The Best of ""Our Town""",John Weld/Phil Interlandi,eng
"Dirty Italian: Everyday Slang from ""What's Up?"" to ""F*%# Off!""",Gabrielle Ann Euvino/Lindsay Mack,eng
The Deep (Dive  #2),Gordon Korman,eng
The Discovery (Dive  #1),Gordon Korman,eng
New York City's Best Dive Bars: Drinking and Diving in the Five Boroughs,Wendy  Mitchell/June Kim,eng
The Stowaway Solution (On The Run  #4),Gordon Korman,eng
The Abduction (Kidnapped  #1),Gordon Korman,eng
The Fugitive Factor (On The Run  #2),Gordon Korman,eng
Chasing The Falconers (On The Run  #1),Gordon Korman,eng
Losing Joe's Place,Gordon Korman,eng
Something Fishy at Macdonald Hall (Macdonald Hall  #7),Gordon Korman,eng
The Zucchini Warriors (Macdonald Hall  #5),Gordon Korman,eng
The Contest (Everest Trilogy),Gordon Korman,eng
The Deep (Dive Trilogy),Gordon Korman,eng
No More Dead Dogs,Gordon Korman,eng
Radio Fifth Grade,Gordon Korman,eng
The Climb (Everest Trilogy),Gordon Korman,eng
The Contest (Everest  #1),Gordon Korman,eng
Casino Royale (James Bond  #1),Ian Fleming,eng
The Eternal Flame (Merlin  #11),T.A. Barron/David Elliot,eng
The Ivy Tree,Carolyn Brown,eng
Street Magic (The Circle Opens  #2),Tamora Pierce,eng
Wolf-Speaker (Immortals  #2),Tamora Pierce,eng
Leonardo's Notebooks,Leonardo da Vinci/H. Anna Suh,eng
The Golden Notebook,Doris Lessing,eng
Gödel  Escher  Bach: An Eternal Golden Braid,Douglas R. Hofstadter,eng
M Is for Mayflower: A Massachusetts Alphabet,Margot Theis Raven/Jeannie Brett,eng
Mayflower Treasure Hunt (A to Z Mysteries: Super Edition  #2),Ron Roy/John Steven Gurney,en-US
William Shakespeare’s: Romeo and Juliet (Shakespeare Retellings  #4),Bruce Coville/Dennis Nolan,eng
Jennifer  Hecate  Macbeth  William McKinley  and Me  Elizabeth,E.L. Konigsburg,eng
Death of a Charming Man (Hamish Macbeth  #10),M.C. Beaton,eng
The Merchant of Venice,William Shakespeare/Robert     Smith/Jonathan    Morris,eng
Catherine  Called Birdy,Karen Cushman,eng
How to Build a Time Machine,Paul Davies,eng
Around the World in 8 1/2 Days (Judy Moody #7),Megan McDonald/Peter H. Reynolds,eng
Judy Moody  M.D.: The Doctor is In! (Judy Moody #5),Megan McDonald/Peter H. Reynolds,eng
Judy Moody Predicts the Future (Judy Moody  #4),Megan McDonald/Peter H. Reynolds,eng
Judy Moody Declares Independence (Judy Moody #6),Megan McDonald/Peter H. Reynolds,eng
Judy Moody Gets Famous! (Judy Moody  #2),Megan McDonald/Peter H. Reynolds,eng
Judy Moody Saves the World! (Judy Moody #3),Megan McDonald/Peter H. Reynolds,eng
Amelia's Notebook (Amelia's Notebooks  #1),Marissa Moss,eng
Amelia's 6th-Grade Notebook (Amelia's Notebooks  #15),Marissa Moss,en-US
Charlotte's Web,E.B. White/Garth Williams/Rosemary Wells,eng
Charlotte's Web,E.B. White/Garth Williams/Rosemary Wells,en-US
Charlotte's Web,E.B. White/Garth Williams/Kate DiCamillo,en-US
Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz/E.B. White/Aleksey Ivanov/Olga Ivanov,eng
Secrets of the Scorpion,Jed Carleton/Shawn Carman/Seth Mason/Robert    Lee/Travis Heerman/Aaron Medwin/Matthew S. Armstrong/D.J. Trindle/Cris Dornaus/Eric Steiger,eng
The Runaway Jury,John Grisham,eng
The Boys Start the War (Boy/Girl Battle  #1),Phyllis Reynolds Naylor,eng
The Boys Start the War  the Girls Get Even,Phyllis Reynolds Naylor,eng
Boys Against Girls (Sweet Valley Twins  #17),Francine Pascal/Jamie Suzanne,eng
Boys Against Girls (Sweet Valley Twins  #17),Francine Pascal/Jamie Suzanne,eng
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll/John Tenniel/Martin Gardner,eng
Alice's Adventures in Wonderland: A Pop-Up Adaptation,Robert Sabuda/Lewis Carroll,en-US
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll/John Tenniel/Tan Lin,eng
Alice's Adventures in Wonderland,Lewis Carroll/Helen Oxenbury,eng
Alice's Adventures in Wonderland and Through the Looking-Glass (Alice's Adventures in Wonderland  #1-2),Lewis Carroll/Hugh Haughton/John Tenniel,eng
Alice's Adventures in Wonderland,Lewis Carroll/Helen Oxenbury,eng
The Art of Warfare,Sun Tzu/Roger T. Ames,eng
The Black Ice (Harry Bosch  #2; Harry Bosch Universe  #2),Michael Connelly,eng
Black Ice (Ice  #1),Anne Stuart,eng
A Cavern of Black Ice (Sword of Shadows  #1),J.V. Jones,eng
White Sky  Black Ice (Nathan Active Mystery  #1),Stan Jones,eng
Thus Spake the Corpse: An Exquisite Corpse Reader 1988-98 Vol 1 Poetry & Essays,Andrei Codrescu/Laura Rosenthal,en-US
Thus Spoke Zarathustra,Friedrich Nietzsche,eng
A World Lit Only by Fire,William Manchester/Barrett Whitener,en-US
War Comes to Willy Freeman (Arabus Family Saga  #1),James Lincoln Collier/Christopher Collier,eng
Skellig (Skellig  #1),David Almond,eng
Skellig: The Play,David Almond,eng
Les Misérables,Victor Hugo/Charles E. Wilbour,en-US
Les Misérables,Victor Hugo/Charles E. Wilbour/James K. Robinson,eng
Les Misérables,Victor Hugo/Charles E. Wilbour/Peter Washington,eng
Les Miserables (Stepping Stones),Monica Kulling/Victor Hugo,eng
Because Of Winn Dixie,Kate DiCamillo,eng
At the Edge of the World (Crispin  #2),Avi,en-US
The Story of Avis,Elizabeth Stuart Phelps/Carol Phillips,eng
Poppy,Avi,eng
Poppy's Return,Avi/Brian Floca,eng
The Secret School,Avi,eng
The Pen Is Mightier Than The Sword (The Amazing Days of Abby Hayes  #6),Anne Mazer/Monica Gesue,eng
Have Wheels  Will Travel (The Amazing Days of Abby Hayes  #4),Anne Mazer/Monica Gesue,eng
Out of Sight  Out of Mind (The Amazing Days of Abby Hayes  #9),Anne Mazer/Monica Gesue/Joyce White,en-US
The Best Is Yet to Come (The Amazing Days of Abby Hayes Super Special  #1),Anne Mazer,eng
Violet Makes A Splash (Sister Magic),Anne Mazer/Bill Brown,en-US
The Trouble With Violet,Anne Mazer/Bill Brown,eng
Knowledge Is Power (The Amazing Days of Abby Hayes: #15),Anne Mazer,eng
The Trumpet of the Swan,E.B. White/Fred Marcellino,eng
Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,eng
Sachs & Violens,Peter David/George Pérez,en-US
Nicomachean Ethics,Aristotle/Joe Sachs,eng
Harper Lee's To Kill a Mockingbird (Bloom's Guides),Harold Bloom/Harper Lee,eng
His Dark Materials,Nicholas Wright/Philip Pullman,eng
His Dark Materials: New Edition,Nicholas Wright/Philip Pullman,eng
His Dark Materials Trilogy (Northern Lights; The Subtle Knife; The Amber Spyglass),Philip Pullman,eng
The Cricket in Times Square,George Selden/Garth Williams,eng
Lucie Babbidge's House,Sylvia Cassedy,eng
Nine Horses,Billy Collins,eng
The Apple that Astonished Paris,Billy Collins,eng
The Circle (Dan Lenson  #3),David Poyer,en-US
The Sorority: Samantha (Sorority Trilogy  #3),Tamara Thorne,eng
Trickster's Choice (Daughter of the Lioness  #1),Tamora Pierce,eng
Trickster's Choice (Daughter of the Lioness  #1),Tamora Pierce/Trini Alvarado,eng
Video Girl Ai  Vol. 15: Len's Story,Masakazu Katsura,en-US
The Ships of Earth (Homecoming Saga #3),Orson Scott Card,eng
Heathersleigh Homecoming (Secrets of Heathersleigh Hall  #3),Michael R. Phillips,eng
Bait and Switch: The (Futile) Pursuit of the American Dream,Barbara Ehrenreich,eng
For Her Own Good: Two Centuries of the Experts' Advice to Women,Barbara Ehrenreich/Deirdre English,en-US
Fear of Falling: The Inner Life of the Middle Class,Barbara Ehrenreich,eng
On Duties (De Officiis),Marcus Tullius Cicero/Walter Miller,eng
Peony in Love,Lisa See,eng
See How She Dies,Lisa Jackson,eng
Chuck Klosterman IV: A Decade of Curious People and Dangerous Ideas,Chuck Klosterman,en-US
Fargo Rock City: A Heavy Metal Odyssey in Rural North Dakota,Chuck Klosterman,eng
i am 8-bit: Art Inspired by Classic Videogames of the '80s,Jon M. Gibson/Chuck Klosterman,en-US
No Idle Hands: The Social History of American Knitting,Anne Macdonald,eng
How to be Idle,Tom Hodgkinson,en-US
The Stuffed Owl: An Anthology of Bad Verse,D.B. Wyndham-Lewis/Charles  Lee/Billy Collins/Max Beerbohm,eng
The Complete Aubrey/Maturin Novels (5 Volumes),Patrick O'Brian,eng
The Hundred Days (Aubrey & Maturin #19),Patrick O'Brian,eng
The Final Unfinished Voyage of Jack Aubrey (Aubrey & Maturin #21),Patrick O'Brian/Richard Snow,eng
The Truelove (Aubrey & Maturin #15),Patrick O'Brian,eng
Blue at the Mizzen (Aubrey & Maturin #20),Patrick O'Brian,eng
Field Guide to Home Buying in America,Mark LeVine/Michael Pollan/Stephen M. Pollan,eng
Gilliam on Gilliam (Directors on Directors),Terry Gilliam/Ian Christie,eng
The Adventures of Baron Munchausen: The Illustrated Screenplay,Terry Gilliam/Charles McKeown,eng
The Complete Monty Python's Flying Circus: All the Words  Vol. 2,Graham Chapman/John Cleese/Terry Gilliam/Eric Idle/Terry Jones/Michael Palin,eng
The Pythons Autobiography by The Pythons,Graham Chapman/John Cleese/Terry Gilliam/Eric Idle/Terry Jones/Michael Palin/Bob McCabe,eng
The Complete Monty Python's Flying Circus: All the Words: Volume 1,Graham Chapman/Eric Idle/Terry Gilliam/John Cleese/Terry Jones/Michael Palin/Roger Wilmut,eng
The Gangs of New York,Herbert Asbury/Jorge Luis Borges,eng
All Around the Town,Herbert Asbury,eng
The Adventures of Tom Sawyer and Adventures of Huckleberry Finn,Mark Twain/Shelly Fisher Fishkin,eng
The Adventures of Tom Sawyer (Adventures of Tom and Huck  #1),Mark Twain/Scott McKowen,eng
The Adventures of Tom Sawyer (Adventures of Tom and Huck  #1),Mark Twain/Guy Cardwell/John Seelye,eng
The Moon in Hiding (The Green Lion Trilogy #2),Teresa Edgerton,eng
The Short Stories  Vol 3,Ernest Hemingway/Stacy Keach,eng
Selections from the Oakland Tribune Archives (Images of America: California),Annalee Allen,eng
Sebastopol (Images of America: California),Western Sonoma County Historical Society,eng
Center City Philadelphia in the 19th Century (Images of America: Pennsylvania),Library Company of Philadelphia,eng
Juneau and Sauk Counties: 1850-2000 (Images of America: Wisconsin),Jacqueline Ann/Sheila Z.,eng
Paris Spleen,Charles Baudelaire/Louise Varèse,eng
The Writer of Modern Life: Essays on Charles Baudelaire,Walter Benjamin/Michael W. Jennings/Rodney Livingstone/Edmund F.N. Jephcott/Harry Zohn/Howard Eiland,eng
Flowers of Evil and Other Works/Les Fleurs du Mal et Oeuvres Choisies : A Dual-Language Book (Dover Foreign Language Study Guides) (English and French Edition),Charles Baudelaire/Wallace Fowlie,fre
On Wine and Hashish,Charles Baudelaire/Andrew Brown/Margaret Drabble,eng
Intimate Journals,Charles Baudelaire/Christopher Isherwood/W.H. Auden,eng
The Painter of Modern Life and Other Essays (Phaidon Arts and Letters),Charles Baudelaire/Jonathon Mayne,eng
Candide,Voltaire/Larousse,fre
Candide,Voltaire/Mona Mulhair,fre
The Handbook (The Encheiridion),Epictetus/Nicholas P. White,eng
A Manual for Living,Epictetus/Sharon Lebell,eng
